record_label_low,occurrences,record_label_major
Vulcan Sky/Exactly,4,Independent
boooster,4,Independent
"Zelig Records, LLC./Columbia Records",4,Sony Music Entertainment
plenka,4,Independent
iamsleepless,4,Independent
Welcome to Masomenos,4,Independent
sevenahalf records,4,Independent
İdobay Müzik Yapım,4,Independent
VICTORIE MUSIC,4,Universal Music Group
ДК Посторонних,4,Independent
VM3 Collective,4,Independent
Vorssenn,4,Independent
Hot sugar band,4,Warner Records
ap bank,4,Independent
avex EDM,4,Sony Music Entertainment
shtum,4,Independent
튠즈윌㈜,4,Independent
Waterstrider,4,Warner Records
Voodoo Island Records,4,Warner Records
Hypnotic Dirge / Badmoodman,4,Independent
indi,4,Independent
raw productions,4,Independent
İstanbul Blue Night Records,4,Sony Music Entertainment
Вихрия,4,Independent
iMD-Bergthron,4,Independent
Worldwide Records,4,Universal Music Group
Česká Muzika,4,Independent
Zulu Records,4,Universal Music Group
Virtually Conducted Productions,4,Independent
IAMONE 2018,4,Independent
World IN Sound,4,Independent
InneRelax Records,4,Independent
banda AKIRA,4,Independent
Voltaire Records,4,Universal Music Group
ZonaPunk,4,Independent
Inner City,4,Independent
VERMILLION RECORDS,4,Independent
Weezer,4,Independent
I.M.M. Musicworks,4,Universal Music Group
"VOF Dance, the war is over",4,Universal Music Group
Whales Sample,4,Independent
Hot Source Records,4,Independent
Welodrom Family,4,Independent
Zoo Production,4,Warner Records
Humble Angel Records,4,Warner Records
Worldstar,4,Independent
엔에이피엔터테인먼트(N.A.P. Entertainment),4,Independent
slangcorp,4,Warner Records
쏘스뮤직(SOURCE MUSIC),4,Universal Music Group
In The Garden Records,4,Independent
Weisse Scheisse,4,Independent
Hypnoblue,4,Independent
"АО ""Фирма Мелодия"" по лицензии АНО ""Центр Стаса Намина""",4,Independent
Von Wegen Lisbeth,4,Sony Music Entertainment
It's Probably Fine Records,4,Independent
Welcome Records,4,Universal Music Group
АиБ,4,Independent
In The Day,4,Independent
skapandi-music,4,Independent
АО «Фирма Мелодия» по лицензии АНО «Центр Стаса Намина»,4,Independent
에이팀엔터테인먼트,4,Independent
silver stream music,4,Independent
WoodWorks Records,4,Independent
Inner Surface Music,4,Independent
Von Iva Music,4,Independent
Visual Disturbances,4,Independent
Wellenbrecher Records,4,Independent
arnau música,4,Independent
지앤지프로덕션(GnG Production),4,Independent
Zoo Records,4,Universal Music Group
rathergood.com,4,Sony Music Entertainment
스튜디오 시내,4,Independent
Voluntad Cero,4,Universal Music Group
Welicoruss,4,Independent
Woo Park,4,Independent
VooDoo Records,4,Universal Music Group
In The Lobby,4,Independent
sideways,4,Independent
Wavey Tones,4,Universal Music Group
In Stereo Records,4,Warner Records
Inner Wound,4,Universal Music Group
Zombeast,4,Independent
Vad Fruttik,4,Independent
Virgin Records (India) Pvt Ltd.,4,Sony Music Entertainment
엑설런트뮤직그룹 (XMG),4,Independent
Zhang Yixing Studio,4,Independent
point blanc.inc,4,Independent
popTrip Records,4,Independent
I.S.R.S.,4,Universal Music Group
iM The Morganatics,4,Independent
Vixon Records,4,Independent
Hotel Motel,4,Independent
Zhark Recordings,4,Independent
Wow & Flutter Records,4,Universal Music Group
Vivienne Records,4,Independent
Ziiki Media,4,Independent
spotify,4,Warner Records
prajnamusic,4,Independent
Innerhythmic Records,4,Independent
Innerlogics,4,Independent
stitches,4,Universal Music Group
Ibadan Records,4,Independent
Vlad Holiday,4,Independent
Wreckroom,4,Sony Music Entertainment
Zetod,4,Independent
Vocaphone,4,Universal Music Group
Isomer Records,4,Independent
Zeus Record Serie Oro,4,Independent
IBIZA PARTY SQUAD,4,Universal Music Group
IRS CATALOG MKT (I91),4,Independent
Wolfsgrimm / Deviant,4,Independent
Игрушки,4,Independent
Virgin México,4,Universal Music Group
jon swift,4,Independent
VCO Recordings,4,Independent
bleed through,4,Universal Music Group
Voll Okay,4,Independent
WeatherVane Music,4,Independent
promising music,4,Independent
Ölmez Müzik,4,Sony Music Entertainment
soder.mu Records,4,Independent
amboss Film + Musik,4,Warner Records
Vivek Shraya,4,Sony Music Entertainment
Hydrogen Dukebox Records,4,Universal Music Group
Into Chaos Records,4,Independent
Isotopes Music,4,Independent
Water Spa 2016,4,Independent
Inge Bremnes Recordings,4,Independent
Wormland White,4,Independent
VRWRK,4,Universal Music Group
and more bears Richard Weize,4,Independent
Hypnotic Sounds,4,Independent
Werkharder Records,4,Universal Music Group
Виктор Салтыков,4,Independent
I.Corrupt,4,Universal Music Group
Wee Studio,4,Warner Records
Zomba/Trustkill/Red Ink,4,Independent
Zulya,4,Independent
ЕН Браво,4,Independent
ajed,4,Independent
alone.,4,Universal Music Group
West Audio Music,4,Independent
Way Way Records,4,Independent
VVAR,4,Independent
Waxhole Records LLC,4,Independent
beta records,4,Independent
ITSrecords,4,Independent
VDB - Verve Decca Broadway,4,Universal Music Group
Zippah Records,4,Independent
beowave,4,Independent
Weathervane Music Organization,4,Independent
Wounded Knife,4,Independent
bendigedig,4,Independent
VEAC,4,Independent
HyperSpace Express,4,Universal Music Group
prxz & shiloh dynasty,4,Independent
Vjm Records,4,Sony Music Entertainment
Yard Sale,4,Universal Music Group
cloudlight,4,Universal Music Group
Venera 4,4,Independent
YLMG,4,Independent
IMMER.READY,4,Independent
YH Entertainment (YH Entertainment ),4,Independent
never_b_alone.mp3,4,Independent
Iroknnod Records,4,Independent
Whoop!,4,Independent
WOOLLIM ENTERTAINMENT,4,Independent
electro riot records,4,Universal Music Group
Wool recordings,4,Independent
Indian Face,4,Independent
greg records,4,Independent
el_pasado,4,Universal Music Group
YFS (Your Favorite Song),4,Warner Records
How Far Music,4,Universal Music Group
WORKit!,4,Independent
Yoshi Flower / Rock Mafia PS,4,Universal Music Group
IMR Publishing,4,Independent
WE MFR,4,Independent
Yossi Sassi Band,4,Independent
WOWH Records,4,Independent
vibe.digital,4,Universal Music Group
Verge Collection,4,Independent
WE RAGE AT DAWN,4,Independent
Veritable Records,4,Independent
YNFND,4,Independent
emotecell,4,Independent
Vermillion,4,Independent
wosX,4,Independent
WELICORUSS,4,Independent
Yin Wu,4,Independent
Солнцецветы,4,Independent
How Sad,4,Universal Music Group
WMAW,4,Independent
ООО ГАЗГОЛЬДЕР-РЕКОРД/Студия СОЮЗ,4,Independent
ООО «Национальный Цифровой Агрегатор» по лицензии Легион,4,Independent
Сплин,4,Independent
Irish Music,4,Sony Music Entertainment
www.oomoxx.de,4,Independent
IrishMusic.Net,4,Independent
Institution Records,4,Independent
YoD Recordings,4,Universal Music Group
Videoradio,4,Independent
Ilú Obá De Min,4,Independent
YM3D,4,Sony Music Entertainment
vintage productions,4,Warner Records
How Do You Are?,4,Warner Records
Winley Records,4,Warner Records
youag,4,Independent
White Rabbit Music (independant),4,Independent
e.w.e,4,Universal Music Group
Vikram,4,Independent
zaburzenia.com,4,Independent
Не будите спящих,4,Independent
WTII Records/Gashed!,4,Independent
Inside Sounds,4,Independent
Hundredth,4,Sony Music Entertainment
Young Elephants,4,Sony Music Entertainment
Waax,4,Universal Music Group
dr.m,4,Independent
White Sound Music,4,Warner Records
Эпоха,4,Independent
downside,4,Warner Records
Wafflegate Prod.,4,Independent
INDEPENDENTrecords,4,Independent
Vilis,4,Independent
harapeco records,4,Independent
loonita.com,4,Independent
Young Poet,4,Universal Music Group
Vilje,4,Sony Music Entertainment
White Room Music,4,Universal Music Group
White Stellar,4,Independent
Winona Forever,4,Independent
Venus Records,4,Independent
Непокой,4,Independent
Veo Muertos,4,Independent
Hover,4,Independent
gutistgut.records,4,Independent
Whitewoods,4,Universal Music Group
WOWOD,4,Independent
Indigo Blue Entertainment,4,Independent
Indigo League,4,Warner Records
neômme,4,Warner Records
IN / Rotation (Insomniac Records),4,Independent
yoyooyoy / lolita industri,4,Independent
Vigils,4,Independent
echoecho,4,Universal Music Group
Iron Moon Music,4,Independent
White25,4,Independent
Ventilador Music,4,Universal Music Group
WTF Records / DRA Entertainment,4,Independent
eOne Urban,4,Independent
НедРа,4,Independent
urtikaria anal,4,Independent
en:vision,4,Warner Records
vocaphone,4,Universal Music Group
Hunnypot Records / Important Records,4,Independent
"flavors, Two Sleepy & Flavors",4,Independent
flipturn,4,Independent
Wilderness Media,4,Independent
Рейкьявик,4,Independent
Indice Virgen,4,Sony Music Entertainment
Wilde Productions BVBA,4,Independent
William Bolton,4,Independent
Wildcard,4,Independent
wonderground,4,Independent
Yaya Tova,4,Independent
femme culture,4,Independent
I Love You,4,Independent
Victim,4,Universal Music Group
Yachtvej,4,Independent
gaypimp,4,Independent
Via Lactea,4,Independent
Yaşru,4,Independent
weave,4,Independent
Imp,4,Independent
magala,4,Independent
Yab Yum Records/550 Music/Epic,4,Sony Music Entertainment
Immersion Theory,4,Independent
I Hate Heroes,4,Warner Records
WIREFOREST,4,Independent
ILS Music,4,Independent
Vibes Iration Records,4,Independent
WIMM Recordings,4,Independent
I LIKE RECORDS,4,Independent
Vibez Recordings,4,Independent
Wildlife Music,4,Universal Music Group
Vic Ruggerio,4,Warner Records
Ipecac Recordings / Rekords Rekords,4,Independent
Yarn of Norna,4,Warner Records
"Yann Tiersen - Ici, d'ailleurs...",4,Universal Music Group
WILLOWTIP,4,Independent
Will Knox,4,Warner Records
Vice Versa,4,Independent
Viajero Inmóvil Records,4,Independent
Yamandu Costa,4,Independent
Радио Рекорд,4,Universal Music Group
microindie,4,Independent
I Love Party Production,4,Warner Records
Imminent,4,Universal Music Group
Yaima,4,Universal Music Group
Полина Гагарина,4,Independent
Inédit/maison des cultures du monde,4,Independent
YWHO & Happyface Ent,4,Independent
von der haardt,4,Independent
WELLMADE YEDANG,4,Independent
Irina Mikhailova,4,Independent
Impavid,4,Independent
I Love You Records,4,Independent
Invitro Records,4,Independent
I M U R,4,Universal Music Group
Indielabel,4,Independent
Yersinia Music,4,Independent
Yes We Mystic,4,Warner Records
"IIOVV Records, Moshtache Records & Power Negi Records",4,Independent
Impavid Records,4,Independent
Осень Моей Жизни,4,Independent
eroktika,4,Independent
Hozac Records,4,Independent
Invitado de Piedra,4,Independent
Versant Music,4,Universal Music Group
Veronneau Music,4,Independent
Сказы Леса,4,Independent
epistroph,4,Sony Music Entertainment
Windfall/Columbia,4,Sony Music Entertainment
Yesterdays Rising,4,Universal Music Group
Wiener Records,4,Independent
Отстой,4,Independent
Wild Lion Records,4,Independent
Indie Sparrow Records,4,Independent
Vext,4,Warner Records
mackandgold,4,Independent
"Yehonala Tapes, Lifeforce Records",4,Independent
Vesuvio Solo,4,Independent
William Joseph,4,Independent
Wild Dogz,4,Warner Records
Irie Cartel Recordings,4,Independent
we.own.the.sky,4,Universal Music Group
exlove,4,Independent
Yein France & Dj Youcef,4,Independent
Wind In Sails,4,Independent
Impacta Show,4,Warner Records
Wilory Records,4,Independent
Victor Bailey,4,Warner Records
mojo monkeys,4,Sony Music Entertainment
we are,4,Warner Records
YUGE inc.,4,Independent
Indieaner Records,4,Independent
Wienerworld,4,Independent
Victor Internet,4,Sony Music Entertainment
zenorecords,4,Independent
White Punk,4,Independent
X Entretenimento,4,Independent
Veneer Records,4,Independent
Vapors of Morphine,4,Warner Records
theHELL,4,Independent
ZHS Records,4,Independent
Vanyamba,4,Independent
Vino Recordings,4,Independent
Vansman Records,4,Warner Records
knowmadic & cavanaugh,4,Independent
ZOUK,4,Sony Music Entertainment
Vanitys Fair,4,Independent
ZYON.IO,4,Independent
Продюсерский центр Александра Яковлева,4,Independent
Vanity Records,4,Warner Records
InfeKted Sound,4,Independent
Infecta Suoni E Affini,4,Independent
Inon Zur,4,Independent
Zabiyaka Records/SRR,4,Independent
Zabriskie Point Records,4,Independent
Wantok Musik,4,Independent
Vveee Media Limited,4,Independent
XXYYXX,4,Independent
XXYV,4,Independent
Wandering Worx,4,Independent
If Society/Sabotage Records,4,Independent
合作藝文有限公司,4,Independent
Varient,4,Independent
I want the moon,4,Universal Music Group
Vault,4,Independent
㈜피에이치엔터테인먼트,4,Independent
Vaudeville Smash,4,Universal Music Group
Xirê,4,Independent
七五三Records,4,Independent
Vasudeva,4,Independent
Invictus Media,4,Warner Records
Viniloversus Music Llc.,4,Sony Music Entertainment
W&Y Records,4,Independent
Wandering River,4,Independent
i:scintilla,4,Independent
Wheel Noise Production,4,Independent
Humbug Sthlm - X5 Music Group,4,Independent
É-Karga Eventz,4,Independent
there-musik atlach,4,Independent
Isabella Celander,4,Independent
反正靠谱（北京）音乐有限责任公司,4,Independent
ZENKAI,4,Sony Music Entertainment
theMFCo records,4,Independent
War Brides,4,Independent
Vanaheim / Dreamphone,4,Independent
Zacarias Ferreira,4,Independent
Zambia Ltda,4,Independent
ÖZDEMİR PLAK,4,Universal Music Group
ICARO RECORDS,4,Independent
Valley Queen,4,Universal Music Group
Idle Works,4,Independent
Violent Films,4,Warner Records
Valley Of Fire Recordings,4,Independent
kilk records,4,Independent
X-Bat Records,4,Independent
What Reality? Records,4,Independent
Warm Up Recordings,4,Independent
Violence Recordings,4,Independent
X&G,4,Independent
Hátsó szándék,4,Independent
Zamora Productions E.I,4,Independent
Infernö Records,4,Independent
Innovation 360,4,Independent
kelly,4,Universal Music Group
Zanski,4,Independent
Isle of Jura Records,4,Independent
X Factory Records,4,Independent
Warm Earth Records,4,Independent
Zain Bhikha Studios,4,Universal Music Group
Van Cliburn Foundation,4,Sony Music Entertainment
If Anything Happens To The Cat,4,Independent
岸田教団,4,Independent
Hérisson Vert,4,Independent
War Force Recordings,4,Independent
House Music,4,Independent
With Love Recordings,4,Independent
pbhmedia,4,Independent
killedmyself,4,Independent
peermusic ITALY,4,Universal Music Group
If Heroes Should Fail,4,Independent
МАРА / Союз Мьюзик,4,Independent
INTOXYGENE,4,Universal Music Group
the Pleasure Seekers,4,Universal Music Group
pengtraderecords,4,Independent
the Baboon,4,Independent
iM I Adapt,4,Universal Music Group
House D'Arret,4,Independent
Withdrawn Records/Broken Rim Records/Enjoyment Records,4,Independent
Лера Яскевич,4,Independent
kilkjp,4,Independent
What we call Records,4,Independent
Vault 51,4,Independent
INSANE RECORDINGS,4,Universal Music Group
tiny sticks/m&t inc.,4,Independent
o-nei-ric tapes,4,Independent
Waiting to Fly Music,4,Sony Music Entertainment
laxcity under exclusive license to secret shores,4,Independent
I Am,4,Independent
White Leaf Recordings,4,Universal Music Group
Youryoungbody,4,Independent
Молчание моря,4,Independent
White Ghost Shivers,4,Independent
White Elephant Records,4,Warner Records
Yozlyn,4,Independent
IDJ/Russell Simmons Music Group,4,Universal Music Group
YourSoundTube,4,Independent
Wirebird,4,Independent
カナメイシレコード,4,Independent
historical words label,4,Independent
turntablist records,4,Independent
dividedividedivide,4,Independent
Velocity Recordings,4,Independent
Whitaker Music,4,Independent
Iiiypad,4,Independent
office premotion,4,Independent
Vince De Vera and Jason Garner,4,Independent
Indiz.fr,4,Independent
Wisdom Teeth,4,Universal Music Group
Море Ясности,4,Independent
YELLOWELECTRIC,4,Independent
Village Square,4,Independent
Hurricane Dean,4,Independent
Национальное Музыкальное Издательство,4,Independent
YAP,4,Independent
Hurst Recordings,4,Sony Music Entertainment
northside,4,Independent
underwhelmed,4,Independent
© Rosso Corsa Records,4,Independent
